text,intent
"I’m feeling gloomy, play something mellow.",play_music
Spin some energetic rock to lift my mood.,play_music
Play upbeat English pop this morning.,play_music
I want calm piano music for studying.,play_music
Give me soothing jazz in French.,play_music
Play lively Latin salsa tracks.,play_music
Put on relaxing lo-fi beats.,play_music
I'm in the mood for classic Bollywood hits.,play_music
Play some hard-hitting rap by Kendrick Lamar.,play_music
Can you queue romantic Italian ballads?,play_music
Play acoustic covers by Ed Sheeran.,play_music
I’m feeling nostalgic—play 90s grunge.,play_music
Give me cheerful K-pop songs.,play_music
Play soulful blues by B.B. King.,play_music
Let’s hear upbeat Afrobeat tonight.,play_music
Maybe some tunes would help.,play_music
I need a song right now.,play_music
Something to listen to while I cook.,play_music
"A little background rhythm, please.",play_music
Could use some music here.,play_music
What’s the temperature in Tokyo?,get_weather
How’s the weather in New York right now?,get_weather
Show me the forecast for Paris tomorrow.,get_weather
Tell me the current humidity in Dubai.,get_weather
Give me the weather outlook for Sydney.,get_weather
Is it snowing in Toronto today?,get_weather
Temperature for Cape Town this evening?,get_weather
What’s the rainfall chance in Seattle?,get_weather
Weather update for São Paulo this weekend.,get_weather
How hot is it in Delhi at noon?,get_weather
Will it be windy in Chicago later?,get_weather
Forecast for Barcelona next Friday.,get_weather
Is there a heatwave in Athens?,get_weather
"Current conditions in Berlin, please.",get_weather
Show tomorrow’s high and low for Rome.,get_weather
Should I grab an umbrella today in Mumbai?,get_weather
Do I need a jacket in London?,get_weather
Is it shorts-weather in Honolulu?,get_weather
Will boots be necessary in Oslo?,get_weather
Can I leave the coat at home in Madrid?,get_weather
Take me to Central Park.,navigate
Navigate to Connaught Place.,navigate
Show me directions to the nearest gas station.,navigate
Guide me to the Eiffel Tower.,navigate
Route to San Francisco International Airport.,navigate
Drive to 1600 Amphitheatre Parkway.,navigate
Find a path to the Grand Canyon Visitor Center.,navigate
"Directions to Hotel Taj Palace, please.",navigate
Take me to the closest coffee shop.,navigate
Navigate to Times Square via 5th Avenue.,navigate
Get me directions to the post office.,navigate
Plot a course to Niagara Falls.,navigate
Take me to my office downtown.,navigate
Navigate to home avoiding tolls.,navigate
Show walking directions to the library.,navigate
Let’s head over to the mall.,navigate
I want to go to the airport.,navigate
Can we swing by the pharmacy?,navigate
Let’s get over to Jake’s place.,navigate
I need to reach the stadium.,navigate
Turn the AC down by two degrees.,adjust_temperature
Increase the heat to 24 degrees.,adjust_temperature
Make it warmer in here.,adjust_temperature
Set the thermostat to 20.,adjust_temperature
Lower the temperature by 3 degrees.,adjust_temperature
Cool the room a bit.,adjust_temperature
Crank up the heater slightly.,adjust_temperature
Bring the temperature to a comfy 22.,adjust_temperature
Reduce the AC to medium.,adjust_temperature
Set climate control to eco and 18 degrees.,adjust_temperature
Turn the air-conditioner off.,adjust_temperature
Bump the heat up just a tad.,adjust_temperature
Set fan to cool mode at 19.,adjust_temperature
Please warm the cabin by two degrees.,adjust_temperature
Drop the temp to 16 right away.,adjust_temperature
It’s a bit chilly in here.,adjust_temperature
I’m feeling too warm.,adjust_temperature
The room feels stuffy.,adjust_temperature
My hands are freezing.,adjust_temperature
Feels like a sauna right now.,adjust_temperature
Call Mom.,call_person
Ring up John.,call_person
Dial Dr. Smith’s office.,call_person
Place a call to Emily.,call_person
Call my brother Alex.,call_person
Ring Grandma’s mobile.,call_person
Dial the office receptionist.,call_person
Call Jessica on speaker.,call_person
Ring Michael at work.,call_person
Call Dad’s cell phone.,call_person
Dial Sarah via WhatsApp.,call_person
Call Coach Carter now.,call_person
Ring up accountant Mr. Lee.,call_person
Dial emergency contact Anna.,call_person
"Call dentist’s clinic, please.",call_person
I need to talk to Sarah.,call_person
Get me in touch with Dad.,call_person
Could you connect me to my lawyer?,call_person
I should speak with Grandma.,call_person
Put me through to the office.,call_person
"I'm feeling ecstatic, play some energetic EDM.",play_music
Play mellow acoustic guitar tracks.,play_music
Give me peaceful Sanskrit chants.,play_music
I want soulful Hindi ghazals tonight.,play_music
Spin lively reggaeton beats.,play_music
Put on somber classical cello pieces.,play_music
Queue upbeat Japanese city-pop.,play_music
Play smooth R&B by Alicia Keys.,play_music
Let’s hear funky 70s disco.,play_music
Play intense workout hip-hop.,play_music
